thisRow.t,notes,chosen_identity,landmark,question_time,participant,
,,Mark,nose,7.751815499999793,Alyssa,
,,Mark,left eye,12.287453599999935,Alyssa,
,,Mark,right eye,14.967360200000257,Alyssa,
,,Mark,mouth,16.99922829999923,Alyssa,
,,Mark,left ear,18.7991650999993,Alyssa,
,,Mark,right ear,20.351029600000402,Alyssa,
,,Mark,chin,22.60696629999984,Alyssa,
,,Mark,top of head,24.286837199999354,Alyssa,
,,Helly,nose,1.6453347999995458,Alyssa,
,,Helly,left eye,2.8371736999997665,Alyssa,
,,Helly,right eye,4.357110400000238,Alyssa,
,,Helly,mouth,6.036934400000973,Alyssa,
,,Helly,left ear,7.700923399999738,Alyssa,
,,Helly,right ear,9.076965700000073,Alyssa,
,,Helly,chin,10.452754800000548,Alyssa,
,,Helly,top of head,11.668807100000777,Alyssa,
