thisRow.t,notes,chosen_identity,landmark,question_time,participant,
,,Mark,nose,9.542322799999965,David,
,,Mark,left eye,16.69393130000026,David,
,,Mark,right eye,20.197736300000543,David,
,,Mark,mouth,24.91759920000004,David,
,,Mark,left ear,29.05330540000068,David,
,,Mark,right ear,32.51710079999975,David,
,,Mark,chin,35.22899700000016,David,
,,Mark,top of head,38.04479460000039,David,
,,Helly,nose,3.9220177000006515,David,
,,Helly,left eye,6.449793800000407,David,
,,Helly,right eye,8.161731700000018,David,
,,Helly,mouth,10.609657099999822,David,
,,Helly,left ear,13.92948620000061,David,
,,Helly,right ear,15.897354000000632,David,
,,Helly,chin,17.793251500001134,David,
,,Helly,top of head,21.145065000000614,David,
