event,label,unix_time
experiment_start,,1747777669.0743995
welcome_start,,1747777669.077419
welcome_end,,1747777669.7458248
welcome_start,,1747777669.7541158
welcome_end,,1747777671.986159
faces_shown_start,,1747777672.0097413
faces_shown_end,,1747777687.0809507
break_start,,1747777687.0849698
break_end,,1747777689.1848786
eyetracking_start,,1747777689.2020514
visualization_prompt_mark_start,,1747777689.2071228
visualization_prompt_mark_end,,1747777691.2963328
landmark_start,nose,1747777691.348875
landmark_end,nose,1747777693.1924734
landmark_start,left eye,1747777693.2317276
landmark_end,left eye,1747777695.9762278
landmark_start,right eye,1747777695.9978864
landmark_end,right eye,1747777698.3761508
landmark_start,mouth,1747777698.4144902
landmark_end,mouth,1747777700.807984
landmark_start,left ear,1747777700.8311698
landmark_end,left ear,1747777703.3285153
landmark_start,right ear,1747777703.3487809
landmark_end,right ear,1747777705.4956315
landmark_start,chin,1747777705.5309386
landmark_end,chin,1747777707.735993
landmark_start,top of head,1747777707.7642791
landmark_end,top of head,1747777709.6556542
visualization_prompt_helly_start,,1747777709.6947274
visualization_prompt_helly_end,,1747777713.8399804
landmark_start,nose,1747777713.880839
landmark_end,nose,1747777716.5277877
landmark_start,left eye,1747777716.5468647
landmark_end,left eye,1747777718.3428655
landmark_start,right eye,1747777718.3811848
landmark_end,right eye,1747777719.8710604
landmark_start,mouth,1747777719.8967981
landmark_end,mouth,1747777721.726693
landmark_start,left ear,1747777721.7473054
landmark_end,left ear,1747777723.574604
landmark_start,right ear,1747777723.5972466
landmark_end,right ear,1747777725.4704373
landmark_start,chin,1747777725.4966989
landmark_end,chin,1747777727.054704
landmark_start,top of head,1747777727.0638492
landmark_end,top of head,1747777728.6784146
experiment_exit_start,,1747777728.7107615
experiment_exit_end,,1747777729.7182796
experiment_end,,1747777729.7359517
