thisRow.t,notes,chosen_identity,landmark,question_time,participant,
,,Mark,nose,1.8826369999987946,Emma,
,,Mark,left eye,4.666506499999741,Emma,
,,Mark,right eye,7.066322699998636,Emma,
,,Mark,mouth,9.498248299998522,Emma,
,,Mark,left ear,12.018330400000195,Emma,
,,Mark,right ear,14.185993099999905,Emma,
,,Mark,chin,16.42590029999883,Emma,
,,Mark,top of head,18.345785800000158,Emma,
,,Helly,nose,2.6709654000005685,Emma,
,,Helly,left eye,4.486786100000245,Emma,
,,Helly,right eye,6.014731700000993,Emma,
,,Helly,mouth,7.870699800001603,Emma,
,,Helly,left ear,9.718513499999972,Emma,
,,Helly,right ear,11.61446260000048,Emma,
,,Helly,chin,13.198450600000797,Emma,
,,Helly,top of head,14.822350500000539,Emma,
