event,label,time
experiment_start,,56.901970099657774
welcome_start,welcome,56.90210309997201
welcome_audio_end,welcome,66.64436549972743
welcome_end,welcome,112.55164049984887
faces_shown_start,faces_shown,112.55180209968239
faces_shown_audio_end,faces_shown,119.60367439966649
faces_shown_end,faces_shown,122.76719649974257
break_start,break,122.76732779992744
break_audio_end,break,131.1903859996237
break_end,break,132.17469489993528
mark_start,,139.85895539959893
mark_nose_start,nose,139.8595440997742
mark_nose_audio_end,nose,142.87916729971766
mark_nose_end,nose,151.9825919996947
mark_face_start,face,151.98332059988752
mark_face_audio_end,face,156.3936160998419
mark_face_end,face,161.94918160000816
mark_mouth_start,mouth,161.94929529959336
mark_mouth_audio_end,mouth,165.70054809981957
mark_mouth_end,mouth,172.53163849981502
mark_lefteye_start,lefteye,172.5317225996405
mark_lefteye_audio_end,lefteye,175.66361209983006
mark_lefteye_end,lefteye,181.8819362996146
mark_righteye_start,righteye,181.8820302998647
mark_righteye_audio_end,righteye,185.37937729991972
mark_righteye_end,righteye,191.53194629959762
mark_end,,191.53203499969095
helly_start,,198.66806269995868
helly_nose_start,nose,198.6683567999862
helly_nose_audio_end,nose,201.69906919961795
helly_nose_end,nose,208.18124850001186
helly_face_start,face,208.18138649966568
helly_face_audio_end,face,212.59355639992282
helly_face_end,face,217.8310159998946
helly_mouth_start,mouth,217.83110979991034
helly_mouth_audio_end,mouth,221.5904973000288
helly_mouth_end,mouth,226.89744689967483
helly_lefteye_start,lefteye,226.8975501996465
helly_lefteye_audio_end,lefteye,230.02355419984087
helly_lefteye_end,lefteye,235.68101059971377
helly_righteye_start,righteye,235.68111209990457
helly_righteye_audio_end,righteye,239.17923069978133
helly_righteye_end,righteye,244.39708339981735
helly_end,,244.3971869996749
thank_you_start,thank_you,244.4561566999182
sound_skipped,thank_you,249.83493629982695
thank_you_audio_end,thank_you,249.8350131995976
thank_you_end,thank_you,253.3843236998655
experiment_end,,253.38668560003862
