thisRow.t,notes,phase,landmark,drawn_pixels,participant,
,,mark,nose,"[[-134.0, 217.0], [-134.0, 217.0], [-134.0, 217.0], [-134.0, 217.0], [-134.0, 217.0], [-134.0, 217.0], [-134.0, 217.0], [-134.0, 217.0], [-134.0, 217.0], [-134.0, 217.0], [-134.0, 217.0], [-134.0, 217.0], [-134.0, 217.0], [-135.0, 214.0], [-139.0, 208.0], [-142.0, 202.0], [-145.0, 198.0], [-148.0, 193.0], [-150.0, 189.0], [-152.0, 186.0], [-153.0, 184.0], [-153.0, 184.0], [-153.0, 184.0], [-153.0, 183.0], [-153.0, 183.0], [-153.0, 181.0], [-152.0, 179.0], [-150.0, 177.0], [-149.0, 176.0], [-148.0, 174.0], [-146.0, 172.0], [-144.0, 170.0], [-141.0, 169.0], [-137.0, 169.0], [-130.0, 169.0], [-127.0, 170.0], [-126.0, 171.0], [-126.0, 172.0], [-126.0, 175.0], [-126.0, 179.0], [-126.0, 179.0], [-126.0, 179.0], [-126.0, 179.0], [-126.0, 179.0], [-126.0, 179.0], [-126.0, 178.0], [-124.0, 171.0], [-121.0, 169.0], [-110.0, 170.0], [-102.0, 174.0], [-95.0, 187.0], [-95.0, 192.0], [-100.0, 204.0], [-107.0, 211.0], [-112.0, 215.0], [-114.0, 217.0], [-118.0, 220.0], [-119.0, 221.0], [-119.0, 221.0], [-119.0, 221.0], [-119.0, 221.0], [-119.0, 221.0], [-119.0, 221.0], [-119.0, 221.0], [-119.0, 221.0], [-119.0, 221.0], [-119.0, 221.0], [-119.0, 221.0], [-119.0, 221.0]]",Ishaan,
,,mark,face,"[[158.0, 275.0], [151.0, 274.0], [130.0, 270.0], [102.0, 257.0], [78.0, 237.0], [56.0, 212.0], [45.0, 189.0], [36.0, 163.0], [30.0, 133.0], [29.0, 106.0], [27.0, 74.0], [27.0, 44.0], [28.0, 14.0], [37.0, -20.0], [50.0, -45.0], [79.0, -81.0], [104.0, -94.0], [127.0, -96.0], [159.0, -96.0], [202.0, -84.0], [250.0, -54.0], [282.0, -14.0], [289.0, 15.0], [289.0, 56.0], [274.0, 113.0], [251.0, 174.0], [225.0, 232.0], [204.0, 265.0], [181.0, 282.0], [160.0, 282.0], [150.0, 282.0], [150.0, 282.0], [150.0, 282.0], [146.0, 280.0], [139.0, 274.0], [139.0, 274.0], [139.0, 274.0]]",Ishaan,
,,mark,mouth,"[[91.0, 37.0], [91.0, 37.0], [103.0, 41.0], [122.0, 46.0], [137.0, 48.0], [148.0, 48.0], [158.0, 48.0], [174.0, 48.0], [184.0, 48.0], [193.0, 48.0], [199.0, 48.0], [87.0, 38.0], [97.0, 32.0], [98.0, 32.0], [121.0, 29.0], [132.0, 29.0], [151.0, 29.0], [162.0, 36.0], [175.0, 45.0], [182.0, 47.0], [191.0, 47.0], [193.0, 47.0]]",Ishaan,
,,mark,lefteye,"[[113.0, 158.0], [108.0, 158.0], [91.0, 158.0], [81.0, 157.0], [75.0, 151.0], [76.0, 145.0], [89.0, 144.0], [103.0, 144.0], [114.0, 147.0], [115.0, 152.0], [113.0, 158.0], [113.0, 158.0], [112.0, 166.0], [96.0, 160.0], [94.0, 151.0], [94.0, 146.0], [94.0, 146.0], [98.0, 162.0], [99.0, 159.0], [99.0, 148.0], [99.0, 148.0]]",Ishaan,
,,mark,righteye,"[[225.0, 167.0], [193.0, 167.0], [173.0, 163.0], [169.0, 155.0], [182.0, 150.0], [202.0, 150.0], [209.0, 151.0], [214.0, 154.0], [219.0, 158.0], [219.0, 161.0], [220.0, 168.0], [199.0, 169.0], [200.0, 166.0], [199.0, 151.0], [197.0, 149.0], [189.0, 165.0], [189.0, 156.0], [193.0, 149.0]]",Ishaan,
,,helly,nose,"[[-30.0, 165.0], [-30.0, 165.0], [-30.0, 165.0], [-30.0, 165.0], [-30.0, 165.0], [-30.0, 165.0], [-30.0, 165.0], [-30.0, 165.0], [-30.0, 165.0], [-30.0, 165.0], [-31.0, 161.0], [-34.0, 158.0], [-36.0, 153.0], [-39.0, 149.0], [-41.0, 145.0], [-44.0, 141.0], [-45.0, 138.0], [-48.0, 134.0], [-49.0, 131.0], [-49.0, 129.0], [-49.0, 126.0], [-50.0, 123.0], [-51.0, 119.0], [-53.0, 116.0], [-53.0, 114.0], [-53.0, 110.0], [-53.0, 108.0], [-54.0, 105.0], [-54.0, 104.0], [-54.0, 103.0], [-53.0, 100.0], [-53.0, 99.0], [-53.0, 98.0], [-53.0, 96.0], [-52.0, 95.0], [-51.0, 94.0], [-49.0, 93.0], [-48.0, 93.0], [-44.0, 93.0], [-43.0, 93.0], [-39.0, 93.0], [-39.0, 93.0], [-39.0, 93.0], [-39.0, 93.0], [-38.0, 93.0], [-37.0, 94.0], [-36.0, 97.0], [-36.0, 99.0], [-36.0, 99.0], [-36.0, 99.0], [-36.0, 99.0], [-36.0, 99.0], [-36.0, 99.0], [-36.0, 99.0], [-36.0, 98.0], [-34.0, 95.0], [-31.0, 94.0], [-28.0, 94.0], [-22.0, 95.0], [-18.0, 98.0], [-13.0, 103.0], [-11.0, 111.0], [-10.0, 122.0], [-10.0, 131.0], [-10.0, 142.0], [-10.0, 151.0], [-11.0, 163.0], [-11.0, 164.0], [-13.0, 166.0], [-13.0, 166.0], [-13.0, 166.0]]",Ishaan,
,,helly,face,"[[-83.0, 242.0], [-83.0, 242.0], [-98.0, 221.0], [-125.0, 186.0], [-151.0, 150.0], [-162.0, 123.0], [-168.0, 94.0], [-168.0, 68.0], [-168.0, 39.0], [-168.0, 10.0], [-168.0, -40.0], [-168.0, -81.0], [-162.0, -101.0], [-141.0, -111.0], [-92.0, -116.0], [-42.0, -116.0], [1.0, -115.0], [53.0, -91.0], [90.0, -55.0], [107.0, -16.0], [115.0, 27.0], [116.0, 96.0], [97.0, 157.0], [80.0, 194.0], [44.0, 226.0], [0.0, 243.0], [-42.0, 250.0], [-58.0, 250.0], [-87.0, 247.0], [-93.0, 245.0], [-94.0, 244.0]]",Ishaan,
,,helly,mouth,"[[-100.0, 2.0], [-99.0, 2.0], [-89.0, 2.0], [-76.0, 2.0], [-59.0, 2.0], [-46.0, 2.0], [-34.0, 2.0], [-28.0, 2.0], [-17.0, 2.0], [-17.0, 2.0], [-92.0, 6.0], [-92.0, 6.0], [-99.0, 0.0], [-98.0, -3.0], [-76.0, -6.0], [-61.0, -6.0], [-48.0, -6.0], [-34.0, -4.0], [-27.0, -3.0], [-21.0, 1.0], [-21.0, 1.0], [-15.0, 2.0], [-17.0, 2.0]]",Ishaan,
,,helly,lefteye,"[[-76.0, 172.0], [-84.0, 173.0], [-102.0, 172.0], [-117.0, 168.0], [-123.0, 161.0], [-102.0, 158.0], [-93.0, 158.0], [-89.0, 158.0], [-83.0, 162.0], [-82.0, 167.0], [-81.0, 172.0], [-81.0, 172.0], [-105.0, 173.0], [-105.0, 173.0], [-105.0, 163.0], [-102.0, 155.0], [-100.0, 174.0], [-100.0, 174.0], [-100.0, 173.0], [-100.0, 163.0]]",Ishaan,
,,helly,righteye,"[[32.0, 167.0], [62.0, 167.0], [64.0, 167.0], [31.0, 165.0], [42.0, 162.0], [53.0, 162.0], [62.0, 162.0], [63.0, 162.0], [63.0, 162.0], [67.0, 164.0], [67.0, 165.0], [65.0, 167.0], [65.0, 167.0], [48.0, 163.0], [47.0, 162.0]]",Ishaan,
