thisRow.t,notes,chosen_identity,landmark,question_time,participant,
,,Mark,nose,4.034748600097373,Kiersten,
,,Mark,left eye,9.77049360005185,Kiersten,
,,Mark,right eye,13.378275700146332,Kiersten,
,,Mark,mouth,16.57813060004264,Kiersten,
,,Mark,left ear,19.186019900022075,Kiersten,
,,Mark,right ear,20.841945100110024,Kiersten,
,,Mark,chin,23.52976220007986,Kiersten,
,,Mark,top of head,25.553693399997428,Kiersten,
,,Helly,nose,3.001194699900225,Kiersten,
,,Helly,left eye,5.385255000088364,Kiersten,
,,Helly,right eye,6.6970468000508845,Kiersten,
,,Helly,mouth,10.657098399940878,Kiersten,
,,Helly,left ear,13.776661100098863,Kiersten,
,,Helly,right ear,14.864617299987003,Kiersten,
,,Helly,chin,17.472547400044277,Kiersten,
,,Helly,top of head,18.704353000037372,Kiersten,
