event,label,time
experiment_start,,12.335700899828225
welcome_start,welcome,12.335835399571806
welcome_audio_end,welcome,22.065575999673456
welcome_end,welcome,32.171403399668634
faces_shown_start,faces_shown,32.17159439995885
faces_shown_audio_end,faces_shown,39.2149607995525
faces_shown_end,faces_shown,94.88815189991146
break_start,break,94.8882961999625
break_audio_end,break,103.31159339984879
break_end,break,223.36145549966022
mark_start,,231.10000299988315
mark_nose_start,nose,231.10063419956714
mark_nose_audio_end,nose,234.12021589977667
mark_nose_end,nose,251.51308949990198
mark_face_start,face,251.51347479969263
mark_face_audio_end,face,255.92466409970075
mark_face_end,face,287.52907749963924
mark_mouth_start,mouth,287.5292340996675
mark_mouth_audio_end,mouth,291.28156029991806
mark_mouth_end,mouth,291.978850599844
mark_lefteye_start,lefteye,291.97892669960856
mark_lefteye_audio_end,lefteye,295.10462459968403
mark_lefteye_end,lefteye,295.7956502996385
mark_righteye_start,righteye,295.7957294997759
mark_righteye_audio_end,righteye,299.29032779997215
mark_righteye_end,righteye,304.0624903999269
mark_end,,304.0625702999532
helly_start,,311.19908219994977
helly_nose_start,nose,311.19919439963996
helly_nose_audio_end,nose,314.2201179997064
helly_nose_end,nose,324.0615822998807
helly_face_start,face,324.0617134999484
sound_skipped,face,324.63601219980046
helly_face_audio_end,face,324.636088299565
helly_face_end,face,326.9782018996775
helly_mouth_start,mouth,326.9782762997784
helly_mouth_audio_end,mouth,330.7315116999671
helly_mouth_end,mouth,336.02783329971135
helly_lefteye_start,lefteye,336.0279395999387
helly_lefteye_audio_end,lefteye,339.1545611997135
helly_lefteye_end,lefteye,342.7281936998479
helly_righteye_start,righteye,342.7282744999975
helly_righteye_audio_end,righteye,346.2202713997103
helly_righteye_end,righteye,349.42765279999
helly_end,,349.42773669958115
thank_you_start,thank_you,349.4809689996764
sound_skipped,thank_you,354.74597599962726
thank_you_audio_end,thank_you,354.7460599998012
thank_you_end,thank_you,356.2265172996558
experiment_end,,356.22888659965247
