thisRow.t,notes,phase,landmark,drawn_pixels,participant,
,,mark,nose,"[[351.0, 228.0], [351.0, 228.0], [351.0, 228.0], [351.0, 228.0], [351.0, 228.0], [351.0, 228.0], [351.0, 228.0], [351.0, 228.0], [351.0, 228.0], [351.0, 226.0], [351.0, 220.0], [349.0, 218.0], [347.0, 213.0], [346.0, 211.0], [344.0, 208.0], [342.0, 206.0], [341.0, 205.0], [341.0, 205.0], [341.0, 205.0], [341.0, 205.0], [341.0, 205.0], [341.0, 205.0], [341.0, 205.0], [341.0, 205.0], [341.0, 205.0], [341.0, 205.0], [341.0, 205.0], [342.0, 204.0], [344.0, 204.0], [345.0, 204.0], [348.0, 204.0], [350.0, 204.0], [351.0, 204.0], [355.0, 204.0], [356.0, 204.0], [359.0, 204.0], [360.0, 204.0], [360.0, 204.0], [361.0, 204.0], [364.0, 204.0], [367.0, 207.0], [368.0, 209.0], [368.0, 209.0], [369.0, 210.0], [368.0, 211.0], [367.0, 212.0], [365.0, 213.0], [363.0, 216.0], [363.0, 218.0], [363.0, 221.0], [363.0, 225.0], [363.0, 228.0], [363.0, 231.0], [363.0, 233.0], [363.0, 235.0], [363.0, 235.0], [348.0, 240.0], [348.0, 240.0], [348.0, 240.0], [349.0, 236.0], [349.0, 234.0], [350.0, 232.0], [349.0, 229.0], [349.0, 229.0], [349.0, 229.0], [349.0, 229.0], [349.0, 229.0], [348.0, 225.0], [346.0, 219.0], [345.0, 216.0]]",Yaochi Li,
,,mark,face,"[[346.0, 285.0], [346.0, 287.0], [346.0, 287.0], [346.0, 287.0], [343.0, 288.0], [337.0, 285.0], [331.0, 283.0], [324.0, 275.0], [321.0, 272.0], [317.0, 265.0], [314.0, 258.0], [313.0, 254.0], [313.0, 250.0], [313.0, 246.0], [313.0, 239.0], [313.0, 225.0], [313.0, 215.0], [313.0, 205.0], [315.0, 191.0], [317.0, 175.0], [319.0, 170.0], [321.0, 167.0], [324.0, 160.0], [326.0, 157.0], [330.0, 151.0], [333.0, 149.0], [338.0, 146.0], [349.0, 146.0], [359.0, 145.0], [375.0, 146.0], [395.0, 152.0], [409.0, 160.0], [414.0, 165.0], [415.0, 172.0], [415.0, 180.0], [415.0, 187.0], [415.0, 202.0], [415.0, 210.0], [414.0, 222.0], [413.0, 233.0], [408.0, 251.0], [406.0, 257.0], [401.0, 271.0], [397.0, 278.0], [393.0, 282.0], [383.0, 289.0], [379.0, 292.0], [369.0, 293.0], [360.0, 293.0], [355.0, 293.0], [352.0, 293.0], [345.0, 293.0], [344.0, 293.0], [341.0, 291.0], [339.0, 289.0], [339.0, 289.0], [327.0, 244.0], [327.0, 244.0], [329.0, 243.0], [333.0, 243.0], [333.0, 243.0], [344.0, 244.0], [345.0, 246.0], [344.0, 252.0], [344.0, 252.0], [339.0, 253.0], [332.0, 253.0], [323.0, 250.0], [322.0, 247.0], [366.0, 251.0], [373.0, 246.0], [374.0, 246.0], [378.0, 246.0], [379.0, 246.0], [385.0, 248.0], [389.0, 253.0], [384.0, 258.0], [374.0, 258.0], [369.0, 258.0], [364.0, 255.0], [365.0, 252.0], [340.0, 176.0], [344.0, 175.0], [348.0, 174.0], [353.0, 173.0], [365.0, 170.0], [380.0, 171.0], [392.0, 177.0], [390.0, 181.0], [388.0, 182.0], [379.0, 181.0], [370.0, 180.0], [357.0, 179.0], [348.0, 179.0], [335.0, 179.0], [332.0, 184.0], [345.0, 190.0], [354.0, 191.0], [365.0, 188.0], [378.0, 184.0], [389.0, 184.0], [394.0, 184.0], [394.0, 184.0], [324.0, 275.0], [314.0, 268.0], [312.0, 259.0], [312.0, 251.0]]",Yaochi Li,
,,mark,mouth,[],Yaochi Li,
,,mark,lefteye,[],Yaochi Li,
,,mark,righteye,"[[370.0, 255.0], [371.0, 255.0], [371.0, 255.0], [374.0, 255.0], [338.0, 250.0], [342.0, 249.0], [342.0, 249.0]]",Yaochi Li,
,,helly,nose,"[[-441.0, 115.0], [-441.0, 115.0], [-441.0, 115.0], [-441.0, 115.0], [-441.0, 115.0], [-441.0, 115.0], [-440.0, 116.0], [-440.0, 116.0], [-440.0, 116.0], [-440.0, 116.0], [-443.0, 109.0], [-445.0, 104.0], [-448.0, 100.0], [-449.0, 97.0], [-449.0, 96.0], [-450.0, 95.0], [-450.0, 95.0], [-451.0, 94.0], [-451.0, 92.0], [-451.0, 92.0], [-451.0, 91.0], [-450.0, 89.0], [-450.0, 87.0], [-449.0, 85.0], [-449.0, 85.0], [-448.0, 83.0], [-447.0, 81.0], [-446.0, 80.0], [-444.0, 78.0], [-444.0, 78.0], [-444.0, 78.0], [-444.0, 78.0], [-442.0, 78.0], [-440.0, 78.0], [-437.0, 76.0], [-435.0, 75.0], [-435.0, 75.0], [-435.0, 75.0], [-432.0, 75.0], [-430.0, 75.0], [-428.0, 74.0], [-427.0, 74.0], [-424.0, 76.0], [-423.0, 79.0], [-423.0, 83.0], [-422.0, 87.0], [-421.0, 88.0], [-421.0, 90.0], [-422.0, 92.0], [-422.0, 92.0], [-423.0, 93.0], [-423.0, 93.0], [-425.0, 94.0], [-427.0, 96.0], [-428.0, 97.0], [-429.0, 98.0], [-431.0, 100.0], [-432.0, 101.0], [-434.0, 106.0], [-434.0, 111.0], [-434.0, 112.0], [-434.0, 115.0], [-433.0, 117.0], [-433.0, 117.0], [-433.0, 117.0]]",Yaochi Li,
,,helly,face,[],Yaochi Li,
,,helly,mouth,"[[-461.0, 34.0], [-459.0, 30.0], [-452.0, 21.0], [-450.0, 19.0], [-439.0, 18.0], [-429.0, 18.0], [-419.0, 21.0], [-411.0, 29.0], [-410.0, 36.0], [-411.0, 41.0], [-411.0, 41.0], [-413.0, 39.0], [-418.0, 36.0], [-422.0, 34.0], [-432.0, 31.0], [-438.0, 31.0], [-447.0, 30.0], [-453.0, 31.0], [-462.0, 34.0], [-464.0, 37.0], [-464.0, 42.0], [-460.0, 46.0], [-456.0, 47.0], [-451.0, 46.0], [-445.0, 45.0], [-439.0, 44.0], [-435.0, 44.0], [-431.0, 43.0], [-429.0, 43.0], [-425.0, 43.0], [-421.0, 43.0], [-420.0, 43.0], [-417.0, 43.0], [-415.0, 44.0], [-415.0, 44.0], [-414.0, 44.0], [-413.0, 42.0], [-412.0, 41.0]]",Yaochi Li,
,,helly,lefteye,"[[-483.0, 141.0], [-480.0, 138.0], [-464.0, 131.0], [-459.0, 131.0], [-453.0, 134.0], [-450.0, 143.0], [-452.0, 149.0], [-463.0, 149.0], [-479.0, 147.0], [-488.0, 144.0], [-489.0, 142.0], [-486.0, 139.0], [-484.0, 138.0]]",Yaochi Li,
,,helly,righteye,"[[-406.0, 137.0], [-418.0, 143.0], [-419.0, 141.0], [-415.0, 135.0], [-412.0, 133.0], [-405.0, 133.0], [-396.0, 133.0], [-393.0, 135.0], [-395.0, 143.0], [-402.0, 147.0], [-410.0, 147.0], [-413.0, 148.0], [-419.0, 145.0], [-419.0, 141.0]]",Yaochi Li,
