event,label,unix_time
experiment_start,,1748978981.6347709
welcome_start,,1748978981.6388884
welcome_end,,1748978986.2788625
welcome_start,,1748978986.2960846
welcome_end,,1748978987.1180701
faces_shown_start,,1748978987.1284375
faces_shown_end,,1748978993.4064088
break_start,,1748978993.4074118
break_end,,1748978994.5256748
eyetracking_start,,1748978994.5479093
visualization_prompt_mark_start,,1748978994.550919
visualization_prompt_mark_end,,1748978997.7181864
landmark_start,nose,1748978997.7614794
landmark_end,nose,1748978997.933987
landmark_start,left eye,1748978997.9644825
landmark_end,left eye,1748978998.109508
landmark_start,right eye,1748978998.1357827
landmark_end,right eye,1748978998.2861524
landmark_start,mouth,1748978998.3029006
landmark_end,mouth,1748978998.4540117
landmark_start,left ear,1748978998.4700983
landmark_end,left ear,1748978998.6293676
landmark_start,right ear,1748978998.6409395
landmark_end,right ear,1748978998.7982008
landmark_start,chin,1748978998.8073263
landmark_end,chin,1748978998.9654267
landmark_start,top of head,1748978998.9978483
landmark_end,top of head,1748978999.1581657
visualization_prompt_helly_start,,1748978999.1652002
visualization_prompt_helly_end,,1748978999.3491294
landmark_start,nose,1748978999.3932943
landmark_end,nose,1748978999.5420547
landmark_start,left eye,1748978999.5510883
landmark_end,left eye,1748978999.7489874
landmark_start,right eye,1748978999.7588048
landmark_end,right eye,1748978999.9419873
landmark_start,mouth,1748978999.9696162
landmark_end,mouth,1748979000.1340563
landmark_start,left ear,1748979000.162688
landmark_end,left ear,1748979000.318059
landmark_start,right ear,1748979000.335633
landmark_end,right ear,1748979000.4939206
landmark_start,chin,1748979000.5040476
landmark_end,chin,1748979000.6692202
landmark_start,top of head,1748979000.6966057
landmark_end,top of head,1748979000.8371868
experiment_exit_start,,1748979000.8639095
experiment_exit_end,,1748979001.0217798
experiment_end,,1748979001.0331244
