thisRow.t,notes,chosen_identity,landmark,question_time,participant,
,,Mark,nose,0.19860829995013773,asdf,
,,Mark,left eye,0.37435890012420714,asdf,
,,Mark,right eye,0.5503126999828964,asdf,
,,Mark,mouth,0.7183493000920862,asdf,
,,Mark,left ear,0.8943205000832677,asdf,
,,Mark,right ear,1.062364500015974,asdf,
,,Mark,chin,1.2303023000713438,asdf,
,,Mark,top of head,1.4223191000055522,asdf,
,,Helly,nose,0.18365289992652833,asdf,
,,Helly,left eye,0.39165919995866716,asdf,
,,Helly,right eye,0.5837463999632746,asdf,
,,Helly,mouth,0.7758116000331938,asdf,
,,Helly,left ear,0.9596305000595748,asdf,
,,Helly,right ear,1.135982499923557,asdf,
,,Helly,chin,1.311878199921921,asdf,
,,Helly,top of head,1.4796167998574674,asdf,
