event,label,unix_time
experiment_start,,1751400419.6046524
welcome_start,,1751400419.607662
welcome_end,,1751400452.5427675
welcome_start,,1751400452.5427675
welcome_end,,1751400456.526447
faces_shown_start,,1751400456.526447
faces_shown_end,,1751400543.7139013
break_start,,1751400543.7139013
break_end,,1751400571.3282702
eyetracking_start,,1751400571.3282702
visualization_prompt_mark_start,,1751400571.329275
visualization_prompt_mark_end,,1751400584.56765
landmark_start,nose,1751400584.5978253
landmark_end,nose,1751400592.110855
landmark_start,left eye,1751400592.131851
landmark_end,left eye,1751400603.5345383
landmark_start,right eye,1751400603.5486357
landmark_end,right eye,1751400610.2778075
landmark_start,mouth,1751400610.2974236
landmark_end,mouth,1751400616.9574609
landmark_start,left ear,1751400616.9640427
landmark_end,left ear,1751400624.2296796
landmark_start,right ear,1751400624.2472634
landmark_end,right ear,1751400631.109359
landmark_start,chin,1751400631.130565
landmark_end,chin,1751400638.8845224
landmark_start,top of head,1751400638.8966765
landmark_end,top of head,1751400646.5639048
visualization_prompt_helly_start,,1751400646.5785956
visualization_prompt_helly_end,,1751400655.5720687
landmark_start,nose,1751400655.596141
landmark_end,nose,1751400663.6276026
landmark_start,left eye,1751400663.646858
landmark_end,left eye,1751400670.427177
landmark_start,right eye,1751400670.4461906
landmark_end,right eye,1751400677.3786042
landmark_start,mouth,1751400677.3955414
landmark_end,mouth,1751400684.4748707
landmark_start,left ear,1751400684.4955118
landmark_end,left ear,1751400691.2662203
landmark_start,right ear,1751400691.2788372
landmark_end,right ear,1751400698.1376472
landmark_start,chin,1751400698.1480074
landmark_end,chin,1751400705.393319
landmark_start,top of head,1751400705.4456372
landmark_end,top of head,1751400711.4973817
experiment_exit_start,,1751400711.5104635
experiment_exit_end,,1751400718.984502
experiment_end,,1751400718.984502
