thisRow.t,notes,chosen_identity,landmark,question_time,participant,
,,Mark,nose,7.5436333999969065,blaisdell,
,,Mark,left eye,18.96691059996374,blaisdell,
,,Mark,right eye,25.710640100063756,blaisdell,
,,Mark,mouth,32.39043079991825,blaisdell,
,,Mark,left ear,39.66219389997423,blaisdell,
,,Mark,right ear,46.54151159990579,blaisdell,
,,Mark,chin,54.317157899960876,blaisdell,
,,Mark,top of head,61.99672370008193,blaisdell,
,,Helly,nose,8.055529500124976,blaisdell,
,,Helly,left eye,14.855057600187138,blaisdell,
,,Helly,right eye,21.806807599961758,blaisdell,
,,Helly,mouth,28.902421400183812,blaisdell,
,,Helly,left ear,35.69404310011305,blaisdell,
,,Helly,right ear,42.56572670000605,blaisdell,
,,Helly,chin,49.82127690012567,blaisdell,
,,Helly,top of head,55.92505840002559,blaisdell,
