thisRow.t,notes,chosen_identity,landmark,question_time,participant,
,,Mark,nose,8.837998699999844,Mingda,
,,Mark,left eye,10.845802899999399,Mingda,
,,Mark,right eye,12.645683499999905,Mingda,
,,Mark,mouth,15.397477499999695,Mingda,
,,Mark,left ear,16.74152679999952,Mingda,
,,Mark,right ear,18.04539990000012,Mingda,
,,Mark,chin,20.29332919999979,Mingda,
,,Mark,top of head,21.549237399999583,Mingda,
,,Helly,nose,4.365799899999729,Mingda,
,,Helly,left eye,6.773616700000275,Mingda,
,,Helly,right eye,7.765581300000122,Mingda,
,,Helly,mouth,9.229579900000317,Mingda,
,,Helly,left ear,10.645376399999805,Mingda,
,,Helly,right ear,11.605340299999625,Mingda,
,,Helly,chin,13.461208599999736,Mingda,
,,Helly,top of head,14.509279799999604,Mingda,
