event,label,time
experiment_start,,86.23759180004708
welcome_start,welcome,86.24067299999297
welcome_audio_end,welcome,97.74636290012859
welcome_end,welcome,99.36890370002948
faces_shown_start,faces_shown,99.3690510999877
faces_shown_audio_end,faces_shown,107.47689360007644
faces_shown_end,faces_shown,127.31899520009756
break_start,break,127.31914230016991
break_audio_end,break,138.74877190007828
break_end,break,230.08917329995893
visualization_prompt_mark_start,visualization_prompt_mark,230.09189820010215
visualization_prompt_mark_audio_end,visualization_prompt_mark,239.41867340006866
visualization_prompt_mark_end,visualization_prompt_mark,242.78489460004494
Mark_nose_start,nose,242.83786120009609
Mark_nose_end,nose,253.72219670005143
Mark_ellipse_start,face,253.7222532001324
Mark_ellipse_end,face,269.72187480004504
Mark_lefteye_start,lefteye,269.7219319001306
Mark_lefteye_end,lefteye,278.1017767000012
Mark_righteye_start,righteye,278.10183329996653
Mark_righteye_end,righteye,285.96512200008146
Mark_mouth_start,mouth,285.9651789001655
Mark_mouth_end,mouth,292.1633050001692
visualization_prompt_helly_start,visualization_prompt_helly,292.32428509998135
visualization_prompt_helly_audio_end,visualization_prompt_helly,301.7899152999744
visualization_prompt_helly_end,visualization_prompt_helly,312.6053020001855
Helly_nose_start,nose,312.6585646001622
Helly_nose_end,nose,319.54097930015996
Helly_ellipse_start,face,319.5410329999868
Helly_ellipse_end,face,332.3698742000852
Helly_lefteye_start,lefteye,332.36992990016006
Helly_lefteye_end,lefteye,338.39055300015025
Helly_righteye_start,righteye,338.39060340006836
Helly_righteye_end,righteye,342.882375900168
Helly_mouth_start,mouth,342.88243200001307
Helly_mouth_end,mouth,350.121179100126
thank_you_start,thank_you,350.2812594000716
thank_you_audio_end,thank_you,353.15858230018057
thank_you_end,thank_you,353.15864589996636
experiment_end,,353.1587012000382
