event,label,time
experiment_start,,5.3223077999427915
welcome_start,welcome,5.3253095000982285
welcome_audio_end,welcome,16.8360172000248
welcome_end,welcome,20.02478490001522
faces_shown_start,faces_shown,20.02493380010128
faces_shown_audio_end,faces_shown,28.126550999935716
faces_shown_end,faces_shown,41.57554950006306
break_start,break,41.5756819001399
break_audio_end,break,53.03842440014705
break_end,break,62.646543600130826
visualization_prompt_mark_start,visualization_prompt_mark,62.65549800009467
visualization_prompt_mark_audio_end,visualization_prompt_mark,71.98843779996969
visualization_prompt_mark_end,visualization_prompt_mark,78.63746120012365
Mark_nose_start,nose,78.70536190015264
Mark_nose_end,nose,170.8535762000829
Mark_ellipse_start,face,170.85363050014712
Mark_ellipse_end,face,188.3023590000812
Mark_lefteye_start,lefteye,188.30240770010278
Mark_lefteye_end,lefteye,195.73668370000087
Mark_righteye_start,righteye,195.73673740006052
Mark_righteye_end,righteye,202.28656130004674
Mark_mouth_start,mouth,202.28662859997712
Mark_mouth_end,mouth,208.58584129996598
visualization_prompt_helly_start,visualization_prompt_helly,208.75228240014985
visualization_prompt_helly_audio_end,visualization_prompt_helly,218.22959619993344
visualization_prompt_helly_end,visualization_prompt_helly,224.542463199934
Helly_nose_start,nose,224.6022598000709
Helly_nose_end,nose,230.91885780007578
Helly_ellipse_start,face,230.91891460004263
Helly_ellipse_end,face,245.28509530005977
Helly_lefteye_start,lefteye,245.28515419992618
Helly_lefteye_end,lefteye,250.86841090000235
Helly_righteye_start,righteye,250.86846940009855
Helly_righteye_end,righteye,255.96800020011142
Helly_mouth_start,mouth,255.96805629995652
Helly_mouth_end,mouth,260.8035009999294
thank_you_start,thank_you,260.97000630013645
thank_you_audio_end,thank_you,266.8514127000235
thank_you_end,thank_you,268.9158817001153
experiment_end,,268.9159699000884
