event,label,time
experiment_start,,4.0005385999102145
welcome_start,welcome,4.003567399922758
welcome_audio_end,welcome,15.507758499821648
welcome_end,welcome,16.964919899823144
faces_shown_start,faces_shown,16.965048999991268
faces_shown_audio_end,faces_shown,25.068302899831906
faces_shown_end,faces_shown,66.93753329990432
break_start,break,66.93769249995239
break_audio_end,break,78.41015419992618
break_end,break,242.96854679984972
visualization_prompt_mark_start,visualization_prompt_mark,243.05732559994794
visualization_prompt_mark_audio_end,visualization_prompt_mark,252.39000939996913
visualization_prompt_mark_end,visualization_prompt_mark,258.53600109997205
Mark_nose_start,nose,258.59055750002153
Mark_nose_end,nose,270.5411862998735
Mark_ellipse_start,face,270.54125349991955
Mark_ellipse_end,face,286.5733588000294
Mark_lefteye_start,lefteye,286.5734125999734
Mark_lefteye_end,lefteye,295.79167049983516
Mark_righteye_start,righteye,295.7917369999923
Mark_righteye_end,righteye,300.9904228998348
Mark_mouth_start,mouth,300.990476799896
Mark_mouth_end,mouth,308.3900053999387
visualization_prompt_helly_start,visualization_prompt_helly,308.5562462999951
visualization_prompt_helly_audio_end,visualization_prompt_helly,318.0312582999468
visualization_prompt_helly_end,visualization_prompt_helly,326.18842419981956
Helly_nose_start,nose,326.2561015000101
Helly_nose_end,nose,331.62214889982715
Helly_ellipse_start,face,331.62220739992335
Helly_ellipse_end,face,345.7383577998262
Helly_lefteye_start,lefteye,345.738413099898
Helly_lefteye_end,lefteye,359.65569359995425
Helly_righteye_start,righteye,359.6557502998039
Helly_righteye_end,righteye,364.3229751000181
Helly_mouth_start,mouth,364.32302249991335
Helly_mouth_end,mouth,369.3216632998083
thank_you_start,thank_you,369.48783400002867
thank_you_audio_end,thank_you,375.3730783998035
thank_you_end,thank_you,376.3056723999325
experiment_end,,376.3057605000213
