event,label,time
experiment_start,,120.92962029995397
welcome_start,welcome,120.93258349993266
welcome_audio_end,welcome,132.06869189999998
welcome_end,welcome,132.06877369992435
faces_shown_start,faces_shown,132.0688964999281
faces_shown_audio_end,faces_shown,140.18678879993968
faces_shown_end,faces_shown,140.97274639992975
break_start,break,140.97287469985895
break_audio_end,break,144.39868029998615
break_end,break,144.39877959992737
visualization_prompt_mark_start,visualization_prompt_mark,144.40062299999408
visualization_prompt_mark_audio_end,visualization_prompt_mark,153.7286748997867
visualization_prompt_mark_end,visualization_prompt_mark,157.2762474999763
Mark_nose_start,nose,157.32876309985295
Mark_nose_end,nose,164.94605559995398
Mark_ellipse_start,face,164.94612659979612
Mark_ellipse_end,face,181.05011929990724
Mark_lefteye_start,lefteye,181.05016909982078
Mark_lefteye_end,lefteye,188.51272029988468
Mark_righteye_start,righteye,188.51277139992453
Mark_righteye_end,righteye,193.41409289999865
Mark_mouth_start,mouth,193.41414749994874
Mark_mouth_end,mouth,198.90072319982573
visualization_prompt_helly_start,visualization_prompt_helly,199.0625500997994
visualization_prompt_helly_audio_end,visualization_prompt_helly,208.5199200999923
visualization_prompt_helly_end,visualization_prompt_helly,211.5293104997836
Helly_nose_start,nose,211.58236199989915
Helly_nose_end,nose,217.53814439987764
Helly_ellipse_start,face,217.53820269997232
Helly_ellipse_end,face,230.89728359994479
Helly_lefteye_start,lefteye,230.89735229988582
Helly_lefteye_end,lefteye,238.63770399987698
Helly_righteye_start,righteye,238.63777829986066
Helly_righteye_end,righteye,243.11877389997244
Helly_mouth_start,mouth,243.11882099998184
Helly_mouth_end,mouth,247.64806589996442
thank_you_start,thank_you,247.80748669989407
thank_you_audio_end,thank_you,250.2185928998515
thank_you_end,thank_you,250.21865079994313
experiment_end,,250.21870609978214
