event,label,time
experiment_start,,12.173364317999585
welcome_start,welcome,12.184393957999418
welcome_audio_end,welcome,23.83944752499974
welcome_end,welcome,32.365668697999354
faces_shown_start,faces_shown,32.365777663999324
faces_shown_audio_end,faces_shown,40.577905292999276
faces_shown_end,faces_shown,70.61559394899996
break_start,break,70.61576069300008
break_audio_end,break,82.05049503600003
break_end,break,126.54593138499968
visualization_prompt_mark_start,visualization_prompt_mark,126.55666108999958
visualization_prompt_mark_audio_end,visualization_prompt_mark,135.87982719699994
visualization_prompt_mark_end,visualization_prompt_mark,142.05742391500007
Mark_nose_start,nose,142.11869548100003
Mark_nose_end,nose,164.4426760059996
Mark_ellipse_start,face,164.44272666899997
Mark_ellipse_end,face,209.27037610099978
Mark_lefteye_start,lefteye,209.27042647899998
Mark_lefteye_end,lefteye,215.37509869399946
Mark_righteye_start,righteye,215.3751465159994
Mark_righteye_end,righteye,216.48690331599937
Mark_mouth_start,mouth,216.4869515069995
Mark_mouth_end,mouth,217.73911373099963
visualization_prompt_helly_start,visualization_prompt_helly,218.3287814940004
visualization_prompt_helly_audio_end,visualization_prompt_helly,227.7902773750002
visualization_prompt_helly_end,visualization_prompt_helly,232.10910228100056
Helly_nose_start,nose,232.16997354399882
Helly_nose_end,nose,233.80609237299996
Helly_ellipse_start,face,233.8062305659996
Helly_ellipse_end,face,236.25099634599883
Helly_lefteye_start,lefteye,236.25104962599926
Helly_lefteye_end,lefteye,237.47363687099914
Helly_righteye_start,righteye,237.47368512000048
Helly_righteye_end,righteye,238.4738251360004
Helly_mouth_start,mouth,238.47387401099968
Helly_mouth_end,mouth,239.71892969599958
thank_you_start,thank_you,240.21204390399998
thank_you_audio_end,thank_you,245.11730640299993
thank_you_end,thank_you,245.11742469100045
experiment_end,,245.11750458000006
