event,label,time
experiment_start,,15.049894723000762
welcome_start,welcome,15.06077682400064
welcome_audio_end,welcome,26.765864251000494
welcome_end,welcome,27.56577770900003
faces_shown_start,faces_shown,27.566255303000617
faces_shown_audio_end,faces_shown,35.40943002499989
faces_shown_end,faces_shown,35.409939054999995
break_start,break,35.410117801000524
break_audio_end,break,39.57526470100038
break_end,break,39.575520607000726
visualization_prompt_mark_start,visualization_prompt_mark,39.587104662000456
visualization_prompt_mark_audio_end,visualization_prompt_mark,48.92216274600014
visualization_prompt_mark_end,visualization_prompt_mark,49.01798188900011
Mark_nose_start,nose,49.07899581900074
Mark_nose_end,nose,57.03837939300047
Mark_ellipse_start,face,57.03870286500023
Mark_ellipse_end,face,66.92644424300033
Mark_lefteye_start,lefteye,66.9269682160002
Mark_lefteye_end,lefteye,76.24479169700044
Mark_righteye_start,righteye,76.24487527900055
Mark_righteye_end,righteye,83.07085079800072
Mark_mouth_start,mouth,83.07144838400018
Mark_mouth_end,mouth,85.2291776840002
visualization_prompt_helly_start,visualization_prompt_helly,85.86173472200062
visualization_prompt_helly_audio_end,visualization_prompt_helly,88.58179697200012
visualization_prompt_helly_end,visualization_prompt_helly,88.58204001100057
Helly_nose_start,nose,88.64376211700073
Helly_nose_end,nose,90.94557705500029
Helly_ellipse_start,face,90.94565427599991
Helly_ellipse_end,face,94.11095530800048
Helly_lefteye_start,lefteye,94.11100574000011
Helly_lefteye_end,lefteye,96.16231513000002
Helly_righteye_start,righteye,96.16236337100054
Helly_righteye_end,righteye,96.92069784500018
Helly_mouth_start,mouth,96.920767996
Helly_mouth_end,mouth,98.01401125600023
thank_you_start,thank_you,98.56008551600007
thank_you_audio_end,thank_you,99.32277869900008
thank_you_end,thank_you,99.3230243880007
experiment_end,,99.32319725200068
