event,label,time
experiment_start,,6.27701189997606
welcome_start,welcome,6.280173899838701
welcome_audio_end,welcome,17.787330799968913
welcome_end,welcome,20.53435239987448
faces_shown_start,faces_shown,20.53450549999252
faces_shown_audio_end,faces_shown,28.647863799938932
faces_shown_end,faces_shown,38.902207100065425
break_start,break,38.902343299938366
break_audio_end,break,45.37974540004507
break_end,break,45.37984289997257
visualization_prompt_mark_start,visualization_prompt_mark,45.389263099990785
visualization_prompt_mark_audio_end,visualization_prompt_mark,54.71997129986994
visualization_prompt_mark_end,visualization_prompt_mark,57.869237300008535
Mark_nose_start,nose,57.93912809994072
Mark_nose_end,nose,64.23905360000208
Mark_ellipse_start,face,64.2391075999476
Mark_ellipse_end,face,76.40461079985835
Mark_lefteye_start,lefteye,76.40466909995303
Mark_lefteye_end,lefteye,83.95477019995451
Mark_righteye_start,righteye,83.9548169998452
Mark_righteye_end,righteye,89.07188539998606
Mark_mouth_start,mouth,89.07194249983877
Mark_mouth_end,mouth,95.53799819992855
visualization_prompt_helly_start,visualization_prompt_helly,95.70478389994241
visualization_prompt_helly_audio_end,visualization_prompt_helly,105.18098559998907
visualization_prompt_helly_end,visualization_prompt_helly,107.7305977998767
Helly_nose_start,nose,107.78754279995337
Helly_nose_end,nose,112.68817169987597
Helly_ellipse_start,face,112.68822779995389
Helly_ellipse_end,face,123.73733279993758
Helly_lefteye_start,lefteye,123.73740139999427
Helly_lefteye_end,lefteye,128.8880888998974
Helly_righteye_start,righteye,128.88814840000123
Helly_righteye_end,righteye,133.2550770000089
Helly_mouth_start,mouth,133.2551343999803
Helly_mouth_end,mouth,139.9207991999574
thank_you_start,thank_you,140.08702480001375
thank_you_audio_end,thank_you,141.68966919998638
thank_you_end,thank_you,141.68973740004003
experiment_end,,141.6897932998836
