event,label,time
experiment_start,,1.6158177000033902
welcome_start,welcome,1.6189729000034276
welcome_audio_end,welcome,4.183184900000924
welcome_end,welcome,4.183323199991719
faces_shown_start,faces_shown,4.183451299992157
faces_shown_audio_end,faces_shown,4.653174299994134
faces_shown_end,faces_shown,4.65327549999347
break_start,break,4.65337030000228
break_audio_end,break,4.993181099998765
break_end,break,4.993283599993447
visualization_prompt_mark_start,visualization_prompt_mark,4.994476399995619
visualization_prompt_mark_audio_end,visualization_prompt_mark,5.543184099995415
visualization_prompt_mark_end,visualization_prompt_mark,5.543295299998135
Mark_nose_start,nose,5.595057899990934
Mark_nose_end,nose,7.189506900002016
Mark_ellipse_start,face,7.189610000001267
Mark_ellipse_end,face,9.412452899996424
Mark_lefteye_start,lefteye,9.412515100004384
Mark_lefteye_end,lefteye,17.411548499992932
Mark_righteye_start,righteye,17.4115993000014
Mark_righteye_end,righteye,37.25062869999965
Mark_mouth_start,mouth,37.25068090000423
